CompetitionName,MatchID,EndID,PowerPlay,USWin,Points
Beijing 2022 Olympic Winter Games,1,1,FALSE,1,0
Beijing 2022 Olympic Winter Games,1,2,FALSE,1,3
Beijing 2022 Olympic Winter Games,1,3,FALSE,1,4
Beijing 2022 Olympic Winter Games,1,4,FALSE,1,4
Beijing 2022 Olympic Winter Games,1,5,FALSE,1,3
Beijing 2022 Olympic Winter Games,1,6,FALSE,1,0
Beijing 2022 Olympic Winter Games,1,7,TRUE,1,3
Beijing 2022 Olympic Winter Games,1,8,FALSE,1,2
Beijing 2022 Olympic Winter Games,2,1,FALSE,0,4
Beijing 2022 Olympic Winter Games,2,2,FALSE,0,2
Beijing 2022 Olympic Winter Games,2,3,FALSE,0,4
Beijing 2022 Olympic Winter Games,2,4,FALSE,0,4
Beijing 2022 Olympic Winter Games,2,5,FALSE,0,4
Beijing 2022 Olympic Winter Games,2,6,FALSE,0,3
Beijing 2022 Olympic Winter Games,2,7,FALSE,0,4
Beijing 2022 Olympic Winter Games,2,8,TRUE,0,4
Beijing 2022 Olympic Winter Games,3,1,FALSE,0,4
Beijing 2022 Olympic Winter Games,3,2,FALSE,0,4
Beijing 2022 Olympic Winter Games,3,3,FALSE,0,4
Beijing 2022 Olympic Winter Games,3,4,FALSE,0,4
Beijing 2022 Olympic Winter Games,3,5,FALSE,0,0
Beijing 2022 Olympic Winter Games,3,6,FALSE,0,4
Beijing 2022 Olympic Winter Games,3,7,TRUE,0,4
Beijing 2022 Olympic Winter Games,3,8,FALSE,0,4
Beijing 2022 Olympic Winter Games,4,1,FALSE,1,4
Beijing 2022 Olympic Winter Games,4,2,FALSE,1,3
Beijing 2022 Olympic Winter Games,4,3,FALSE,1,4
Beijing 2022 Olympic Winter Games,4,4,FALSE,1,4
Beijing 2022 Olympic Winter Games,4,5,FALSE,1,3
Beijing 2022 Olympic Winter Games,4,6,FALSE,1,2
Beijing 2022 Olympic Winter Games,4,7,TRUE,1,4
Beijing 2022 Olympic Winter Games,4,8,FALSE,1,2
Beijing 2022 Olympic Winter Games,4,9,FALSE,1,3
Beijing 2022 Olympic Winter Games,5,1,FALSE,1,3
Beijing 2022 Olympic Winter Games,5,2,FALSE,1,4
Beijing 2022 Olympic Winter Games,5,3,FALSE,1,4
Beijing 2022 Olympic Winter Games,5,4,FALSE,1,3
Beijing 2022 Olympic Winter Games,5,5,FALSE,1,4
Beijing 2022 Olympic Winter Games,5,6,FALSE,1,2
Beijing 2022 Olympic Winter Games,5,7,TRUE,1,0
Beijing 2022 Olympic Winter Games,5,8,FALSE,1,4
Beijing 2022 Olympic Winter Games,6,1,FALSE,0,3
Beijing 2022 Olympic Winter Games,6,2,FALSE,0,3
Beijing 2022 Olympic Winter Games,6,3,FALSE,0,3
Beijing 2022 Olympic Winter Games,6,4,FALSE,0,4
Beijing 2022 Olympic Winter Games,6,5,FALSE,0,3
Beijing 2022 Olympic Winter Games,6,6,TRUE,0,4
Beijing 2022 Olympic Winter Games,6,7,FALSE,0,3
Beijing 2022 Olympic Winter Games,7,1,FALSE,0,4
Beijing 2022 Olympic Winter Games,7,2,FALSE,0,4
Beijing 2022 Olympic Winter Games,7,3,FALSE,0,3
Beijing 2022 Olympic Winter Games,7,4,FALSE,0,4
Beijing 2022 Olympic Winter Games,7,5,FALSE,0,4
Beijing 2022 Olympic Winter Games,7,6,FALSE,0,2
Beijing 2022 Olympic Winter Games,7,7,TRUE,0,3
Beijing 2022 Olympic Winter Games,7,8,FALSE,0,4
Beijing 2022 Olympic Winter Games,8,1,FALSE,0,4
Beijing 2022 Olympic Winter Games,8,2,FALSE,0,3
Beijing 2022 Olympic Winter Games,8,3,FALSE,0,4
Beijing 2022 Olympic Winter Games,8,4,FALSE,0,3
Beijing 2022 Olympic Winter Games,8,5,FALSE,0,2
Beijing 2022 Olympic Winter Games,8,6,FALSE,0,4
Beijing 2022 Olympic Winter Games,8,7,TRUE,0,3
Beijing 2022 Olympic Winter Games,8,8,FALSE,0,3
Beijing 2022 Olympic Winter Games,9,1,FALSE,0,4
Beijing 2022 Olympic Winter Games,9,2,FALSE,0,2
Beijing 2022 Olympic Winter Games,9,3,FALSE,0,4
Beijing 2022 Olympic Winter Games,9,4,FALSE,0,4
Beijing 2022 Olympic Winter Games,9,5,TRUE,0,4
Beijing 2022 Olympic Winter Games,9,6,FALSE,0,4
Beijing 2022 Olympic Winter Games,9,7,FALSE,0,0
Beijing 2022 Olympic Winter Games,9,8,FALSE,0,4
World Mixed Doubles Curling Championship 2023,1,1,FALSE,1,4
World Mixed Doubles Curling Championship 2023,1,2,FALSE,1,4
World Mixed Doubles Curling Championship 2023,1,3,FALSE,1,4
World Mixed Doubles Curling Championship 2023,1,4,FALSE,1,3
World Mixed Doubles Curling Championship 2023,1,5,FALSE,1,4
World Mixed Doubles Curling Championship 2023,1,6,FALSE,1,2
World Mixed Doubles Curling Championship 2023,1,7,TRUE,1,4
World Mixed Doubles Curling Championship 2023,1,8,FALSE,1,4
World Mixed Doubles Curling Championship 2023,1,9,FALSE,1,3
World Mixed Doubles Curling Championship 2023,2,1,FALSE,0,4
World Mixed Doubles Curling Championship 2023,2,2,FALSE,0,4
World Mixed Doubles Curling Championship 2023,2,3,FALSE,0,4
World Mixed Doubles Curling Championship 2023,2,4,FALSE,0,4
World Mixed Doubles Curling Championship 2023,2,5,FALSE,0,3
World Mixed Doubles Curling Championship 2023,2,6,FALSE,0,0
World Mixed Doubles Curling Championship 2023,2,7,TRUE,0,4
World Mixed Doubles Curling Championship 2023,2,8,FALSE,0,3
World Mixed Doubles Curling Championship 2023,3,1,FALSE,1,4
World Mixed Doubles Curling Championship 2023,3,2,FALSE,1,4
World Mixed Doubles Curling Championship 2023,3,3,FALSE,1,4
World Mixed Doubles Curling Championship 2023,3,4,FALSE,1,4
World Mixed Doubles Curling Championship 2023,3,5,FALSE,1,0
World Mixed Doubles Curling Championship 2023,3,6,FALSE,1,1
World Mixed Doubles Curling Championship 2023,3,7,FALSE,1,4
World Mixed Doubles Curling Championship 2023,4,1,FALSE,1,3
World Mixed Doubles Curling Championship 2023,4,2,FALSE,1,4
World Mixed Doubles Curling Championship 2023,4,3,FALSE,1,4
World Mixed Doubles Curling Championship 2023,4,4,FALSE,1,4
World Mixed Doubles Curling Championship 2023,4,5,FALSE,1,0
World Mixed Doubles Curling Championship 2023,4,6,FALSE,1,4
World Mixed Doubles Curling Championship 2023,5,1,FALSE,1,4
World Mixed Doubles Curling Championship 2023,5,2,FALSE,1,4
World Mixed Doubles Curling Championship 2023,5,3,FALSE,1,1
World Mixed Doubles Curling Championship 2023,5,4,FALSE,1,4
World Mixed Doubles Curling Championship 2023,5,5,FALSE,1,0
World Mixed Doubles Curling Championship 2023,5,6,FALSE,1,4
World Mixed Doubles Curling Championship 2023,6,1,FALSE,1,1
World Mixed Doubles Curling Championship 2023,6,2,FALSE,1,1
World Mixed Doubles Curling Championship 2023,6,3,FALSE,1,4
World Mixed Doubles Curling Championship 2023,6,4,FALSE,1,4
World Mixed Doubles Curling Championship 2023,6,5,FALSE,1,0
World Mixed Doubles Curling Championship 2023,6,6,TRUE,1,4
World Mixed Doubles Curling Championship 2023,7,1,FALSE,1,4
World Mixed Doubles Curling Championship 2023,7,2,FALSE,1,4
World Mixed Doubles Curling Championship 2023,7,3,FALSE,1,3
World Mixed Doubles Curling Championship 2023,7,4,FALSE,1,4
World Mixed Doubles Curling Championship 2023,7,5,FALSE,1,4
World Mixed Doubles Curling Championship 2023,7,6,FALSE,1,4
World Mixed Doubles Curling Championship 2023,7,7,TRUE,1,4
